پ,Eng Name,Ar Name
74,`Abd al-Qādir `Alī b. Yūsuf,عبد القادر علي بن يوسف
75,`Abd al-Qādir Afundī,عبد القادر أفندي
76,`Abd al-Qādir al-Ḥamzāwī,عبد القادر الحمزاوي
78,`Abd al-Qādir al-Makkī,عبد القادر المكي
79,`Abd al-Qādir b. `Abd al-Karīm al-Wardīghī al-Khayrānī al-Shafshāwnī,عبد القادر بن عبد الكريم الورديغي الخيراني الشفشاوني
80,`Abd al-Qādir b. `Abd Allāh b. Muḥammad b. Muḥammad Sālim al-Majlisī,عبد القادر بن عبد الله بن محمد بن محمد سالم المجلسي
81,`Abd al-Qādir b. `Abd Allāh b. Mūsa al-Jilānī,عبد القادر بن عبد الله بن موسي الجيلاني
82,`Abd al-Qādir b. `Alī al-Fāsī,عبد القادر بن علي الفاسي
84,`Abd al-Qādir b. `Alī al-Nufāwī al-Zakzakī,عبد القادر بن علي النفاوي الزكزكي
86,`Abd al-Qādir b. `Uthmān b. Abī Bakr,عبد القادر بن عثمان بن ابي بكر
88,`Abd al-Qādir b. `Uthmān b. Muḥammad al-Fūdī,عبد القادر بن عثمان بن محمد الفودي
89,`Abd al-Qādir b. al-`Alām Ghidādu al-Ḥawsī,عبد القادر بن العالم قداد الحوسي
90,`Abd al-Qādir b. Muḥammad al-Amīn al-Kumlaylī,عبد القادر بن محمد الأمين الكمليلي
91,`Abd al-Qādir b. al-Imām,عبد القادر بن الإمام
95,`Abd al-Qādir b. al-Muṣṭafa al-Ṭūrūdī,عبد القادر بن المصطفي الطورودي
96,`Abd al-Qādir b. Mashaṭ b. Muḥammad al-Bukhārī, عبد القادر بن مشط بن محمد البخاري
97,`Abd al-Qādir b. Muḥammad,عبدالقادر بن محمد
98,`Abd al-Qādir b. Muḥammad al-`Umarī al-Tūwātī,عبد القادر بن محمد العمري التواتي
99,`Abd al-Qādir b. Muḥammad al-Bukhārī b. Aḥmad,عبد القادر بن محمد البخاري بن أحمد
100,`Abd al-Qādir b. Muḥammad al-Muṣṭafa,عبد القادر بن محمد المصطفي
101,`Abd al-Qādir b. Muḥammad al-Sanūsī b. Aḥmad Zanag al-Amīn b. al-Ṣāliḥ al-Ḥasanī,عبد القادر بن محمد السنوسي بن أحمد زنك الأمين بن الصالح الحسني
102,`Abd al-Qādir b. Muḥammad al-Sijilmāsī al-Ḥasanī,عبد القادر بن محمد السجلماسي الحسني
103,`Abd al-Qādir b. Muḥammad Zayn al-Ghallāwī,عبد القادر بن محمد زين الغلاوي
104,`Abd al-Qādir b. Muḥammad b. `Abd al-Qādir b. al-Amīn al-Kumlaylī,عبد القادر بن محمد بن عبد القادر بن الأمين الكمليلي
105,`Abd al-Qādir b. Muḥammad b. Muḥammad Sālim al-Majlisī,عبد القادر بن محمد بن محمد سالم المجلسي
107,`Abd al-Qādir b. Muḥammad Bello,عبد القادر بن محمد بللو
108,`Abd al-Qādir b. Mūsa al-Jawānī,عبد القادر بن موسي الجواني
109,`Abd al-Qādir b. Mūsa al-Sūqī,عبد القادر بن موسي السوقي
110,`Abd al-Qādir b. Sa`īd and Abī Bakr b. Mūdī and `Abd al-Raḥmān b. Muḥammad,عبد القادر بن سعيد وأبي بكر بن مودي وعبد الرحمان بن محمد
111,`Abd al-Qādir b. Sa`īd and Abī Bakr b. Mūdī and others with them,عبد القادر بن سعيد وأبي بكر بن مودي ومعهم
112,`Abd al-Qādir b. Tafā,عبد القادر بن تفا
114,`Abd al-Qahir b. `Abd al-Raḥmān al-Jurjānī,عبد القاهربن عبد الرحمان الجرجاني
115,`Abd al-Qasir b. Muṣṭafa,عبد القادر بن مصطفي
116,`Abd al-Quddūs al-Khālidī,عبد القدوس الخالدي
118,`Abd al-Ra'ūf Tāj al-`Ārafīn b. `Alī al-Munāwī,عبد الرؤوف تاج العارفين بن علي‏ ‬المناوي‏
120,`Abd al-Raḥīm,عبد الرحيم
121,`Abd al-Raḥīm al-Bura`ī,عبد الرحيم البرعي
122,`Abd al-Raḥīm al-Lakhmī,عبد الرحيم اللخمي
125,`Abd al-Raḥīm b. `Abd al-Rahman al-`Abāssī al-Qāhirī,عبد الرحيم بن عبد الرحمن العباسي‏ القاهري
126,`Abd al-Raḥīm b. `Umar b. Abī Bakr al-Jawbarī,عبد الرحيم بن عمر بن‏ ‬ابي‏ ‬بكر الجَوْبَري
129,`Abd al-Raḥīm b. al-Ḥusayn al-`Irāqī, عبد الرحيم بن الحسين العراقي 
133,`Abd al-Raḥmān,عبد الرحمان ‬
135,`Abd al-Raḥmān al-Jawzī,عبد الرحمان الجوزي
136,`Abd al-Raḥmān al-Jurjānī,عبد الرحمان الجرجاني
137,`Abd al-Raḥmān al-Khalīfa b. Aḥmad Ṭālib b. Jiddū (?),عبد الرمان الخليفة بن أحمد طلب بن جدو (?)
138,`Abd al-Raḥmān al-Raqa`ī al-Fāsī,عبد الرحمان الرقعي الفاسي
139,`Abd al-Raḥmān b. `Abd al-Majīd al-Wasīṭī,عبد الرحمان بن عبد المجيد الوسيطي
140,`Abd al-Raḥmān b. `Abd al-Qādir al-Fāsī,عبد الرحمان بن عبد القادر الفاسي
141,`Abd al-Raḥmān b. `Abd al-Salām b. `Abd al-Raḥmān al-Ṣaffūrī,عبد الرحمان بن عبد السلام بن عبد الرحمان الصفوري
142,`Abd al-Raḥmān b. `Abd Allāh al-Sa`dī,عبد الرحمان بن عبد الله السعدي
144,`Abd al-Raḥmān b. `Abd Allāh al-Sahīlī,عبد الرحمان بن عبد الله السهيلي‏
145,`Abd al-Raḥmān b. `Abd Allāh al-Turkī al-Miṣrī al-Zarkashī,عبد الرحمان بن عبد الله التركي المصري الزركشي
146,`Abd al-Raḥmān b. `Abd Allāh b. Aḥmad al-Khash`amī al-Saḥilī,عبد الرحمان بن عبد الله بن أحمد الخشعمي الساحلي
147,`Abd al-Raḥmān b. `Abd Allāh b. Aḥmad al-Suhaylī,عبد الرحمان بن عبد الله بن أحمد السهيلي
148,`Abd al-Raḥmān b. `Affān al-Jazūlī,عبد الرحمان بن عفان الجزولي
149,`Abd al-Raḥmān b. `Alī b. Aḥmad al-Qurashī al-Yāfi`ī,عبد الرحمان بن علي بن أحمد القرشي اليافعي
150,`Abd al-Raḥmān b. `Alī b. Muḥammad b. al-Jawzī,عبد الرحمان بن علي بن محمد بن الجوزي
151,`Abd al-Raḥmān b. `Umar al-Jazūlī al-Sūsī,عبد الرحمان بن عمر الجزولي السوسي
152,`Abd al-Raḥmān b. `Umar al-Tūwātī,عبد الرحمان بن عمر التواتي
153,`Abd al-Raḥmān b. 'Ubb `Alal,عبد الرحمان بن أب علل
157,`Abd al-Raḥmān b. Abī  Bakr al-Suyūṭī,عبد الرحمان بن أبي بكر السيوطي
159,`Abd al-Raḥmān b. Abī Qāsim b. al-Qāḍī al-Fāsī,عبد الرحمان بن أبي القاسم بن القاضي الفاسي
160,`Abd al-Raḥmān b. Af (?),عبد الرحمان بن أف (?)
161,`Abd al-Raḥmān b. Aḥmad al-`Ibādī al-Miṣrī,عبد الرحمان بن أحمد العبادي المصري
162,`Abd al-Raḥmān b. Aḥmad al-Waghlisī,عبد الرحمان بن أحمد الوغليسي
164,`Abd al-Raḥmān b. Aḥmad b. Muḥammad al-`Ayyāshī,عبد الرحمان بن أحمد بن محمد العياشي
165,`Abd al-Raḥmān b. al-Imām,عبد الرحمان بن الإمام
166,`Abd al-Raḥmān b. al-Imām Abī Bakr al-Arkazī,عبد الرحمان بن الإمام أبي بكر الأركزي
167,`Abd al-Raḥmān b. al-Ṭālib,عبد الرحمان بن الطالب
168,`Abd al-Raḥmān b. al-Ṭālib Sīdi Aḥmad al-Kuntī,عبد الرحمان بن الطالب سيد أحمد الكنتي
169,Anbūyā (`Abd ar-Raḥmān) b. Bāba Aḥmad b. Muḥammad b. aṭ-Ṭālib `Abd ar-Raḥmān b. Muḥammad b. Aḥmad al-Wālī al-Maḥjūbī,انبويا (عبد الرحمن) بن بابه أحمد بن محمد بن الطالب عبد الرحمن بن محمد بن أحمد الولي المحجوبي:
171,`Abd ar-Raḥmān b. Ballāl al-Ajmallī,عبد الرحمن بن بَلال الأجملي
172,`Abd al-Raḥmān b. Ḥamād b. `Umar,عبد الرحمان بن حماد بن عمر
173,`Abd al-Raḥmān b. Ḥamma al-Jakanī,عبد الرحمان بن حم الجكني
174,`Abd al-Raḥmān b. Isḥāq al-Zajjājī al-Naḥwī,عبد الرحمان بن إسحاق الزجاجي النحوي
175,`Abd al-Raḥmān b. Ismā`īl,عبد الرحمان بن إسماعيل
177,`Abd al-Raḥmān b. Ismā`īl b. al-Imām Muḥammad Gūrdu al-Ghallāwī,عبد الرحمان بن إسماعيل بن الإمام محمد كورد الغلاوي
178,`Abd al-Raḥmān b. Khalīl,عبدالرحمان بن خليل
179,`Abd al-Raḥmān b. Maḥmūd,عبد الرحمان بن محمود
180,`Abd al-Raḥmān b. Muḥammad,عبد الرحمان بن محمد
184,`Abd al-Raḥmān b. Muḥammad al-Akhdarī al-Tha`ālbī al-Jazā'irī,عبد الرحمان بن محمد الأخضري الثعالبي الجزائري
186,`Abd ar-Raḥmān b. Muḥammad al-Amīn b. aṭ-Ṭālib Sīdi Aḥmad al-Ghallāwī,عبد الرحمان بن محمد الأمين بن الطالب سيد أحمد الغلاوي
187,`Abd al-Raḥmān b. Muḥammad al-Amīn b. al-Ṭālib Sīdi Aḥmad al-Ghallāwī and Ibn Sālim al-Walātī,عبد الرحمان بن محمد الأمين بن الطالب سيد أحمد الغلاوي وإبن سليمة الولاتي
188,`Abd al-Rahman b. Muḥammad al-Anbārī,عبد الرحمان بن محمد الأنباري
190,`Abd al-Raḥmān b. Muḥammad al-Ḥaramī,عبد الرحمان بن محمد الحرمي
191,`Abd al-Raḥmān b. Muḥammad al-Naḥrāwī,عبد الرحمان بن محمد النحراوي‏
193,`Abd al-Rahman b. Muḥammad al-Sanūsī b. Yūsuf al-Barnāwī, عبد الرحمن بن محمد السنوسي بن يوسف البرناوي
194,`Abd al-Raḥmān b. Muḥammad al-Shahāwī al-Sa`ūdī,عبد الرحمان بن محمد الشهاوي السعودي
195,`Abd al-Raḥmān b. Muḥammad al-Tājurī,عبد الرحمان بن محمد التاجوري‏ ‬
196,`Abd al-Raḥmān b. Muḥammad al-Talmūdī al-Jazūlī,عبد الرحمان بن محمد التلمودي الجزولي
197,`Abd al-Rahman b. Muḥammad al-Wangharī, عبد الرحمن بن محمد الونغري
198,`Abd al-Raḥmān b. Muḥammad b. `Abd al-Raḥmān,عبد الرحمان بن محمد بن عبد الرحمان
200,`Abd al-Rahman b. Muḥammad b. `Abd al-Rahman b. `Askar al-Baghdādī, عبد الرحمن بن محمد بن عبد الرحمن بن عسكر البغدادي
201,`Abd al-Raḥmān b. Muḥammad b. `Alī al-Bisṭāmī,عبد الرحمان بن محمد بن علي البسطامي
202,`Abd al-Raḥmān b. Muḥammad b. Aḥmad al-Tājūrī,عبد الرحمان بن محمد بن أحمد التاجوري
203,`Abd al-Raḥmān b. Muḥammad b. al-Qāḍirī,عبد الرحمان بن محمد بن القاضي
204,`Abd ar-Raḥmān b. Muḥammad `Abd Allāh b. Aḥmad al-`Awayd al-Maḥjūbī,عبد الرحمن بن محمد عبد الله بن أحمد العويد المحجوبي
205,`Abd al-Raḥman b. Muḥammad b. Makhlūf al-Tha`ālibī,عبد الرحمان بن محمد بن مخلوف الثعالبي‏
