پ,Eng Name,Ar Name
3853,Muḥammad Sālim b. `Abd al-Wadūd al-Mubārakī al-Shamshawī,محمد سالم بن عبد الودود المباركي الشمشوي
3854,Muḥammad Sālim b. `Abd Allāh b. Laḥbīb al-Yūnusī,محمد سالم بن عبد الله بن لحبيب اليونسي
3857,Muḥammad Sālim b. al-Sālik al-Ḥājī,محمد سالم بن السالك الحاجي
3858,Muḥammad Sālim b. al-Shīn al-Ḥasanī al-Dakūjī,محمد سالم بن الشين الحسني الدكوجي
3860,Muḥammad Sālim b. Bittiyya at-Tandaghī,محمد سالم بن بتيه التندغي
3861,Muḥammad Sālim b. Muḥammad al-Māmī [al-Ṃāṃī] al-Ya`qūbī,محمد سالم بن محمد المامي اليعقوبي
3862,Muḥammad Sālim b. Zaydān b. Khūyā al-Alfagha al-Ḥayballī,محمد سالم بن زيدان بن خويا الالفغي
3863,Muḥammad Sambū b. Mūdibū Aḥmad b. Mujaylī al-Fallātī,محمد سمبو بن مودبو أحمد بن موجيلي الفلاتي
3864,Muḥammad Sanba al-Fulānī al-Māsinī,محمد سنب الفلاني الماسني
3865,Muḥammad Sīdi,محمد سيد
3866,Muḥammad Sulaymān,محمد سليمان
3867,Muḥammad Sulaymān b. `Abd Rabih, محمد سليمان بن عبد ربه
3872,Muḥammad Ṭāhir b. Ibrāhīm al-Fulāni al-Barnāwī, محمد طاهر بن إبراهيم الفلاتى البرناوي  
3874,Muḥammad Taqī Allāh b. ash-Shaykh Ma' al-Aynayn al-Qalqamī,محمد تقي الله بن الشيخ ماء العينين القلقمي
3875,Muḥammad Tāsi`u b. Imām Jibiya al-Kashnāwī,محمد تاسع بن إمام جبية الكشناوي
3876,Muḥammad Ṭāwū b. Muḥammad al-Qāḍī Aḥmad,محمد طاو بن محمد القاضي أحمد
3877,Muḥammad Thālith b. Aḥmad Dan Ruwān Tsaya-Kasai al-Kanawī,محمد ثالث بن أحمد بن روان تسي كسي الكنوي
3878,Muḥammad Thānī (Sanī) b. Abī Bakr b. Yaḥya Balalū,محمد ثاني بن أبي بكر ابن يحيى بللو
3879,Muḥammad Thānī Abd `Allāh,محمد ثانى عبد الله
3880,Muḥammad Thānī Mandawarī,محمد ثاني مندوري
3881,Muḥammad Tukur b. Muḥammad al-Fallātī,محمد تكر بن محمد الفلاتي
3882,Muḥammad Wālī Allāh,محمد ولي الله
3883,Muḥammad Wangara b. al-Zubayr,محمد ونكر بن الزبير
3884,Muḥammad Y.L.,محمد ي.ل.
3885,Muḥammad Ya`īsh b. Muḥammad,محمد يعيش بن محمد
3886,Muḥammad Ya`qūb b. Aḥmad Mawlūd b. al-Ṭālib Muḥammad al-Muhajirā al-Za`aymī,محمد يعقوب بن أحمد مولود بن الطالب محمد المهاجري الزعيمي
3887,Muḥammad Yaḥya,محمد يحيي
3888,Muḥammad Yaḥya al-Sūqī,محمد يحيي السوقي
3890,Muḥammad Yaḥya b. Abūh al-Ya`qūbī,محمد يحيي بن أبوه اليعقوبي
3891,Muḥammad Yaḥya b. Aḥmad Sannād al-Ya`qūbī,محمد يحيي بن أحمد سناد اليعقوبي
3892,Muḥammad Yaḥya b. al-Amīn b. Sīdi al-Mūlāy,محمد يحيي بن الأمين بن سيد المولاي
3893,Muḥammad Yaḥya b. Sīdī Aḥmad al-Majlisī,محمد يحيى بن سيدي أحمد المجلسي
3894,Muḥammad Yaḥya b. Maḥmūd al-Ḥasan,محمد يحيي بن محمود الحسن
3895,Muḥammad Yaḥya b. Magāhī al-Ya`qūbī,محمد يحيي بن مگاهي اليعقوبي
3897,Muḥammad Yaḥya b. Muḥammad al-Amīn b. Bbūh al-Ya`qūbī,محمد يحيي بن محمد الأمين بن أبيه اليعقوبي
3898,Muḥammad Yaḥya b. Muḥammad al-Danja al-Tandaghī and Muḥammad b. Muḥammadhan Fāl al-Tandaghī,محمد يحيي بن محمد الدنج التندغي ومحمد بن محمذ فال التندغي
3899,Muḥammad Yaḥya b. Muḥammad al-Māmī [al-Ṃāṃī] al-Ya`qūbī,محمد يحيي بن محمد المامي اليعقوبي
3900,Muḥammad Yaḥya b. Muḥammad al-Mukhtār ad-Dāwudī al-`Allūshī,محمد يحيى بن محمد المختار الداودي العلوشي
3901,Muḥammad Yaḥya b. Muḥammad al-Mukhtār b. al-Ṭālib `Abd Allāh al-Nifā`,محمد يحي بن محمد المختار بن الطالب عبد الله النفاع
3903,Muḥammad Yaḥya b. Muḥammad Sālim b. Muḥammad al-Mukhtār al-Walātī,محمد يحيي بن محمد سليم بن محمد المختار الولاتي
3904,Muḥammad Yaḥya b. Muhammd Sālim al-Ni`māwī,محمد يحيي بن محمد سليم النعماوي
3905,Muḥammad Yaḥya b. Salīma al-Walātī,محمد يحيي سليمة الولاتي
3906,Muḥammad Yislim (يسلم) b. Maylūd al-Idyaydbī,محمد يسلم بن ميلود الإديجبي
3907,Muḥammad Yūsuf,محمد يوسف
3908,Muḥammad Zayn al-`Ābidīn b. Muḥammad `Alī al-Jubahī,محمد زين العابدين بن محمد عالي الجبهي
3909,Muḥammad Zayyān b. Muḥammad al-Mā'mūn b. Ṭālib `Abd al-Raḥmān al-Tūwātī,محمد زيان بن محمد المأمون بن طالب عبد الرحمان التواتي
3910,Muḥammadan b. Abī al-Ḥasanī,محمدن بن أبي الحسني
3913,Muḥammaddin b. Muḥummadhun Fāl [Ṿāl] (Yaḥyā) b. Aḥmaddu Fāl [Ṿāl] al-Arba`īnī at-Tandaghī,محمدن بن محمذن فال بن أحمدو فال الأربعيني التندغي
3914,Muḥammad b. al-Maḥbūbī b. al-Mukhtār b. Muḥummadhun al-Yadālī,محمد بن المحبوبي بن المختار بن محمذن اليدالي
3915,Muḥammaddin b. Muḥammad `Abd Allāh al-Ya`qūbī al-Shamshawī,محمدن بن محمد عبد الله اليعقوبي الشمشوي
3916,Muḥammadan b. Muḥammadu b. Ḥabīb al-Raḥmān al-Tandaghī,محمدن بن محمدو بن حبيب الرحمان التندغي
3917,Muḥammaddū,محمدو
3918,Muḥammaddū `Īsa b. Abī al-Ḥasanī,محمدو عيسي بن أبي الحسني
3920,Muḥammaddū an-Nānna b. al-Mu`allā al-Āgdāshī al-Ḥasanī,محمدو النانة بن المعلى الأكداشي الحسني
3921,Muḥammaddu as-Sālim b. ash-Shayn al-Idakwūdyī (nisba) al-Ḥasanī (watan),محمدو السالم بن الشين الإدكودي نسبا الحسني وطنا
3922,Muḥammaddū b. `Abd Allāh al-Kinānī,محمدو بن عبد الله الكناني
3924,Muḥammaddu b. Ḥāmmī al-Yadālī,محمدو بن حامي اليدالي
3925,Muḥammaddu b. Ḥanbal b. al-Fāḍil [Ṿāḍil] al-Āgdāshī al-Ḥasanī,محمدو بن حنبل بن الفاضل الأگداشي الحسني
3926,Muḥammaddū b. Muḥammad al-Nābigha al-Ḥasanī,محمدو بن محمد النابغة الحسني
3927,Muḥammaddū b. Muḥammad Maḥama Lawal, محمدو بن محمد بن محم لول
3928,Muḥammaddu Ḥāmid b. `Abd Allāh b. Allā al-Āgdāshī al-Ḥasanī,محمدو حامد بن عبد الله بن آلا الأكداشي الحسني
3929,Muḥammaddū Muntaka al-Kūmāsī,محمدو منتقى كوماساوى
3930,Muḥammadhan b. `Abd Allāh b. al-Tam,محمذن بن عبد الله بن التام
3931,al-Mukhtār b. Ḥamīdun ad-Daymānī,المختار بن حامدن الديماني
3932,Muḥummadhun b. al-Hāshimī b. al-Amīn al-Yadmusī,محمذن بن الهاشمي بن الأمين اليدمسي
3933,Muḥummadhun b. al-Mukhtār b. Atfagha [Atshfagha] Mūsā al-Ya`qūbī,محمذن بن المختار بن أتفغ اليعقوبي الموسى
3935,Muḥammadhan b. Ḥabīb Allāh al-Ya`qūbī,محمذن بن حب الله اليعقوبي
3936,Muḥummadhun b. Muḥammad Fāl [Ṿāl] ad-Daymānī,محمذن بن محمد فال الديماني
3937,Muḥammadhan b. Shaykhuna,محمذن بن شيخنا
3938,Muḥammadhan Bāba b. Muḥammad Mukhtār b. `Abdal b. al-Amīn b. al-Mukhtār b. Alfāgha Mūsa al-Ya`qūbī,محمذ باب بن محمد مختار بن عبدال بن الأمين بن المختار بن الفغ موسي اليعقوبي
3939,Muḥammadhan Fāl b. `Abd Allāh b. Bufurr,محمذن فال بن عبد الله بن بوفر
3940,Muḥummadhun Fāl [Ṿāl] b. Aḥmaddu Fāl [Ṿāl] at-Tandaghī,محمذن فال بن أحمدُّ فال التندغي الأربعيني
3941,Muḥammadhan Fāl b. al-Makkī al-Majlisī,محمذن فال بن المكي المجلسي
3942,Muḥummadhun Fāl [Ṿāl] b. Muttālī al-Agdabījī (الأگدبيجي) at-Tandaghī,محمذن فال بن متالي الأگدبيجي التندغي
3944,Muḥammadhan Fāl b. Sulaymān,محمذن فال بن سليمان
3945,Muḥammadhan Walad b. Ḥabīb Allāh b. Muḥammadhan b. Ahbib,محمذن والد بن حبيب الله بن محمذ بن احبيب
3946,Muḥammaddū b. al-Imām Aḥmad at-Tīshītī,محمدُّو بن الإمام أحمد التيشيتي
3947,Muhktār b. Muḥammad Faḍl b. Khayyar,مختار بن محمد فضل بن خيار
3948,Muḥyī al-Dīn Abī Muḥammad Abd al-Qādir b. Mūsa,محى الدين ابى محمد عبد القادر بن موسى
3949,Mukhtār,مختار
3950,Mukhtār al-Ja`farī al-Hāshimī,مختار الجعفري الهاشمي
3951,Mukhtār al-Maḥasan b. Sīdi al-Mukhtār,مختار المحسن بن سيدي المختار
3952,Mukhtār al-Sālim b. `Abd al-Raḥmān,مختار السالم بن عبد الرحمان
3953,Mukhtār al-Sālim b. al-`Abbās al-Mālikī,مختار السالم بن العباس المالكي
3954,Mukhtār al-Sālim b. Sīdi Aḥmad,مختار السالم بن سيد أحمد
3955,Mukhtār al-Shinqīṭī,مختار الشنجيطي
3956,Mukhtār b. `Abd al-Jalil,مختار بن عبد الجليل
3957,Mukhtār b. `Abd al-Qādir b. Judu al-`Umarī,مختار بن عبد القادر بن جود العمري
3958,Mukhtār b. `Abd Allāh al-Ḥasanī,مختار بن عبد الله الحسني
3960,Sīdī al-Mukhtār b. aṭ-Ṭālib A`lī b. ash-Shawwāf al-Gulālī aj-Jakanī,سيدي المختار بن الطالب اعْلِي بن الشواف الگلالي الجكني
3961,Mukhtār b. `Umar b. Aḥmad al-Raqqādī,مختار بن عمر بن أحمد الرقادي
3962,Mukhtār b. Abī Bakr b. Sa`īd Kanata,مختار بن أبي بكر بن سعيد كانتة
3963,Mukhtār b. Aḥmad,مختار بن أحمد
3964,Mukhtār b. Aḥmad al-Tūwātī,مختار بن أحمد التواتي
3965,Mukhtār b. Aḥmad b. Muḥammad al-Amīn b. al-Ḥājj al-Ghallāwī,مختار بن أحمد بن محمد الأمين بن الحاج الغلاوي
3966,Mukhtār b. Aḥmad b. Mukhtār b. Swayd Aḥmad al-Idaw`īshī,مختار بن أحمد بن مختار بن أسويد أحمد
3968,Mukhtār b. Aḥmad Maḥmūd al-Jakanī al-Būtilimītī,مختار بن أحمد محمود الجكني البوتلميتي
3970,Mukhtār b. Aḥmadū b. al-Ḥasan,مختار بن أحمدو بن الحسن
3971,Mukhtār b. Ahmaydat,مختار بن أحميدات
3972,Mukhtār b. Akhtyra,مختار بن اختير
3973,Mukhtār b. al-Amīn,مختار بن الأمين
3974,Mukhtār b. al-Faḍl,مختار بن الفضل
3975,Mukhtār b. al-Khalif,مختار بن الخلف
3976,Mukhtār b. al-Khalīfa,مختار ابن الخليف
3977,al-Mukhtār b. al-Maḥbūbī al-Yadālī,المختار بن المحبوبي اليدالي
3978,Mukhtār b. al-Mukhtār,مختار بن المختار
3979,Mukhtār b. al-Ṣūfī,مختار بن الصوفي
3980,Mukhtār b. al-Ṭālib `Abd Allāh al-Walātī,مختار بن الطالب عبد الله الولاتي
3981,al-Mukhtār b. Alummā al-Yadālī,المختار بن الما اليدالي
3982,Mukhtār b. Anjubnān,مختار بن انجبنان
3983,al-Mukhtār b. Bāba b. Ḥamdī al-Ḥājī,المختار بن بابه بن حمدي الحاجي
3984,al-Mukhtār b. Baybāt al-Yadālī,المختار بن بيبات اليدالي
3985,al-Mukhtār b. Blūl al-Ḥājī,المختار بن ابلول الحاجي
3987,al-Mukhtār b. Būna aj-Jakanī,المختار بن بُونَا الجكَنِي
3988,Mukhtār b. Fāl b. Aydah,مختار بن فال بن أيداه
3989,al-Mukhtār b. Ḥabīb Allāh al-Qulayb [Ligḷayb] as-Sbā`ī,المختار بن حبيب الله القليب السباعي
3990,Mukhtār b. Ḥāmid,مختار بن حامد
3991,Mukhtār b. Ḥāmidun b. Muḥammadhan al-Daymānī,مختار بن حامدن بن محمذن الديماني
3992,Mukhtār b. Ḥawyā,مختار بن حويا
3995,Mukhtār b. Ismā`īl b. Wadī`at Allāh al-Māsinī al-Fulānī,مختار بن إسماعيل بن وديعة الله الماسيني الفلاني
3996,al-Mukhtār b. Djangī b. Ghālī b. al-Fāḍil [Ṿāḍil] al-Yadālī,المختار بن جنگي بن غالي بن الفاضل اليدالي
3997,Mukhtār b. Muḥammad,مختار بن محمد
3998,Mukhtār b. Muḥammad Aḥmad Bāba,مختار بن محمد أحمد باب
3999,Mukhtār b. Muḥammad al-Ṭāhir b. `Alī b. al-Najīb,مختار بن محمد الطاهر بن علي بن الناجب
4000,Mukhtār b. Muḥammad b. Aḥmad al-Bakkā`ī al-Kuntī,مختار بن محمد بن أحمد البكائي الكنتي
4001,al-Mukhtār b. Muḥammad b. Aḥmad b. Sālim b. `Alī al-Abhamī ad-Daymānī,المختار بن محمد بن أحمد بن سالم بن علي الأبُهميِّ الدَّيماني
4002,Mukhtār b. Muḥammad b. al-Mukhtār b. Aḥmad,مختار بن محمد بن المختار بن أحمد
4003,Mukhtār b. Muḥammad b. Maḥmūd b. Maylud,مختار بن محمد محمود بن ميلود
4005,Mukhtār b. Muḥammad Bāba b. Aḥmad,مختار بن محمد باب بن أحمد
4006,al-Mukhtār b. Muḥammad Mbārik b. Slaymān ad-Daymānī,المختار بن محمد امْبَارِك بن سليمان الديماني
4007,al-Mukhtār b. Muḥummadhun b. Aghlambīnt ad-Daymānī,االمختار بن محمذن بن أغلمينت الديماني
4008,al-Mukhtār b. Nda`kūrī (sic) [اندعكوري] al-Ḥājī,المختار بن اندعكوري (كذا) الحاجي
4009,Mukhtār b. Sīdi Muḥammad,مختار بن سيد محمد
4011,Mukhtār b. Wadī`at Allāh al-Māsinī al-Fulānī,مختار بن وديعة الله الماسيني الفلاني
4012,al-Mukhtār Fāl [Ṿāl] b. Ibrāhīm Fāl [Ṿāl] b. Mkhayṭīr al-Barkannī,المختار فال بن إبراهيم فال بن امخيطير البركني
4013,Mukhtār Jiūb [Diop],مختار جوب
4014,al-Mukhtār as-Sālim b. `Alīyyin al-Mālikī at-Tandaghī,المختار السالم بن علين المالكي التندغي
4015,Mūlāy `Abd al-Qādir b. Muḥammad al-Sanūsī,مولاي عبد القادر بن محمد السنوسي
4016,Mūlāy `Abd Allāh b. `Alī b. Ṭāhir,مولاي عبد الله بن علي ابن طاهر
4017,Mūlāy `Alī b. Sīdi Zayan al-Ḥasanī,مولاي عالي بن سيد زيان الحسني
4018,Mūlāy A`l b. Mūlāy `Abd al-Salām,مولاي أعل بن مولاي عبد السلام
4019,Mūlāy Aḥmad al-`Azīzan al-Sharīf,مولاي أحمد العزيزان الشريف
4020,Mūlāy Aḥmad b. Bāba Bir,مولاي أحمد بن باب بير
4021,Mūlāy Aḥmad b. Babir al-Arawānī,مولاي أحمد بن بابير الأرواني
4022,Mūlāy Aḥmad b. Mūlāy `Abd Allāh b. Mūlāy Muḥammad b. al-Waḥīd al-Bārīshī al-Tūwātī,مولاي أحمد بن مولاي عبد الله بن مولاي محمد بن الواحد البريشي التواتي
4023,Mūlay Aḥmad b. Mūlāy al-Bashīr al-Ḥasanī,مولاي أحمد بن مولاي البشير الحسني
4024,Mūlāy Aḥmad b. Mūlāy Mḥammad al-Sharīf al-Tīshītī,مولاي أحمد بن مولاي امحمد الشريف التيشيتي
4026,Mūlāy al-`Arabī b. Mūlāy Hāshim al-Arawānī,مولاي العربي بن مولاي هاشم الأرواني
4027,Mūlāy al-Bukhārī b. Mūlāy `Abd al-Raḥmān,مولاي البخاري بن مولاي عبد الرحمان
4028,Mūlāy al-Ḥasan b. `Abd Allāh b. A`al b. al-Ṭāhir and Ibn al-Barakāt al-`Awsī,مولاي الحسن بن عبد الله بن أعل بن الطاهر وابن البركات العوسي
4029,Mūlāy al-Qāsim b. Mūlāy Sulaymān,مولاي القاسم بن مولاي سليمان
4030,Mūlāy al-Sa`ayd b. Mūlāy `Abd Allāh,مولاي السعيد بن مولاي عبد الله
4031,Mūlāy al-Walīd b. Aḥmad Zarrūq al-Bannānī al-Fāsī,مولاي الوليد بن أحمد زروق البناني الفاسي
4032,Mūlāy b. Muḥammad b. al-Ḥabīb b. Mūlay `Abd al-Qādir al-Ḥasanī,مولاي بن محمد بن الحبيب بن مولاي عبد القادر الحسني
4033,Mūlāy b. Muḥammad Baghayogho,مولاي بن محمد بغيغ
4034,Mūlāy Ibrāhīm b. `Umar al-Sharīf,مولاي إبراهيم بن عمر الشريف
4035,Mūlāy Idrīs b. Mūlāy al-Mahdī b. Mūlāy Ibrāhīm,مولاي إدريس بن مولاي المهد بن مولاي إبراهيم
4037,Mūlāy Idrīs b. Mūlāy al-Shaykh b. Mūlāy Aḥmad,مولاي ادريس بن مولاي الشيخ بن مولاي أحمد
4038,Mūlāy Idrīs b. Mūlāy Ibrāhīm al-Tījānī,مولاي إدريس بن مولاي إبراهيم التيجاني
4039,Mūlāy Muḥammad b. al-Hādī,مولاي محمد بن الهادي
4040,Mūlāy Muḥammad b. Awliyamān b. Muḥammad al-Sharīf,مولاي محمد بن أوليمان بن محمد الشريف
4041,Mūlāy Muḥammad b. Mūlāy Idrīs b. Mūlāy Ibrāhīm,مولاي محمد بن مولاي ادريس بن مولاي إبراهيم
4042,Munīr b. Ḥabīb Allāh al-Shamshawī,منير بن حبيب الله الشمشوي
4043,Muqaddam Aḥmad b. al-Kāhiya b. `Alī b. al-Jism al-Rāmī,مقدم أحمد بن الكاهية علي بن الجسم الرامي
4044,Mur'u b. Muḥammad al-Māsinī,مرؤ بن محمد بن الماسيني
4045,Murābiṭ b. Fandī Mālik al-Wangharī al-Nūrī (?),مرابط بن فندي مالك الونغري النوري (؟)
4046,Murdu b. Muḥammad al-Tījānī,مرد بن محمد التيجاني
4047,Mūridī,موردي
4048,"French official, Commissioner Muru",مورو
4049,Mūsa al-Qaylabī al-Mālikī,موسي القيلبي المالكي
4050,Mūsa al-Qūddūs,موسى القدوس
4051,Mūsa b. `Abd Allāh b. Jibril,موسي بن عبد الله بن جبريل
4052,Mūsa b. `Alī al-Zanātī,موسي بن علي الزناتي
4053,Mūsa b. `Umar al-Maṣmūdī,موسي بن عمر المصمودي
4054,Mūsa b. Aḥmad,موسي بن أحمد
4055,Mūsa b. Ḥamiyya,موسي بن حمي
4056,Mūsa b. Maḥmūd al-Zaghurī,موسي بن محمود الزغري
4057,Mūsa b. Muḥammad,موسي بن محمد
4058,Mūsa b. Muḥammad al-Qālībī,موسي بن محمد القليبي
4061,Mūsa b. Ṣāliḥ b. Muḥammad b. Mūsa b. Muḥammad al-Wīwī al-Dārī al-Fūtī,موسي بن صالح بن محمد بن موسي بن محمد الويوي الداري الفوتي
4062,Mūsa b. Sīdi Ḥurma,موسي بن سيد حرمه
4063,Mūsa b. Zakariyā',موسي بن زكرياء
4065,Muslim b. al-Ḥajjāj al-Qushayrī Nīsābūrī,مسلم بن الحجاج القشيري‏ ‬النيسابوري‏
4066,al-Musta`īn b. Ṭalḥa al-Kumlaylī,المستعين بن طلحة الكمليلي
4067,Muṣṭafa `Abī Ghan,مصطفي أبي غان
4069,Muṣṭafa al-Būlāqī,مصطفي البلاقي
4070,Muṣṭafa al-Ghayraghī,مصطفي الغيرغي
4071,Muṣṭafa al-Rumāṣī,مصطفي الروماصي
4072,Muṣṭafa b. `Abd al-Mū'min al-Ramalī,مصطفى بن عبد المؤمن الرملي
4073,Muṣṭafa b. `Abd al-Raḥmān,مصطفي بن عبد الرحمان
4074,Muṣṭafa b. `Abd Allāh,مصطفي بن عبد الله
4075,Muṣṭafa b. `Abd Allāh b. al-Ṭālib Muḥammad al-Tūrūdī,مصطفي بن عبد الله بن الطالب محمد الطورودي
4077,Muṣṭafa b. `Abd Allāh b. Alfāgha Manṣūr al-Shamshawī,مصطفي بن عبد الله بن الفغ منصر الشمشوي
4078,Muṣṭafa b. `Alī b. `Uthmān,مصطفي بن علي بن عثمان
4079,Muṣṭafa b. Aḥmad,مصطفي بن أحمد
4081,al-Muṣṭafā b. Aḥmad b. `Uthmān b. Mawlūd al-Ghallāwī,المصطفي بن أحمد بن عثمان بن مولود الغلاوي
4082,Muṣṭafa b. Aḥmad b. al-Imām Sīrī b. al-Ḥasan,مصطفي بن أحمد بن الإمام سيري بن الحسن
4083,Muṣṭafa b. Aḥmad b. Muḥammad al-Muṣṭafa al-Marwazī,مصطفي بن أحمد بن محمد المصطفي المروزي
4084,al-Muṣṭafā b. Aḥmad Fāl [Ṿāl] b. Sīdī b. Aḥmiddān b. Ashfagha [Atshfagha] Muḥummadhun al-`Alawī,المصطفى بن أحمد فال بن سيدي بن احمِدانْ بن أشفغ محمذن العلوي
4085,Muṣṭafa b. Aḥmad Ḥamd,مصطفي بن أحمد حمد
4086,al-Muṣṭafā b. al-`Arabī al-Muḥanḍnallī al-Abyayrī,المصطفي بن العربي المحنضنلي الإبييري
4087,Muṣṭafa b. al-Ḥājj `Uthmān,مصطفي بن الحاج عثمان
4088,Muṣṭafa b. Alfā Ibrāhīm al-Dakarī (?),مصطفي بن الفا إبراهيم الدكري
4089,al-Muṣṭafā b. Bābānā al-Ya`qūbī,المصطفي بن بابانا اليعقوبي
4090,Muṣṭafa b. Ibrāhīm,مصطفي بن إبراهيم
4091,Muṣṭafa b. Kamāl al-Dīn b. `Alī b. Muḥyi al-Dīn,مصطفي بن كمال الدين بن علي بن محيي الدين
4092,Muṣṭafa b. Mu`āwiyya al-Tandaghī,مصطفي بن معاوية التندغي
4093,Muṣṭafa b. Muḥammad `Abd al-Raḥmān,مصطفي بن محمد عبد الرحمان
4094,Muṣṭafa b. Muḥammad al-Ḥasanī,مصطفي بن محمد الحسني
4095,Muṣṭafa b. Sharaf,مصطفي بن شرف
4096,Muṣṭafa Kamāl al-Dīn,مصطفي كمال الدين
4097,Muṣṭafa Maḥmūd Afundī al-Miṣrī al-Azharī,مصطفي محمود افندي المصري الأزهري
4098,al-Muṣṭafā Maḥmūd al-Gunānī,المصطفي محمود الگناني
4099,Mutammim b. Nuwayra,متمم بن نويرة
4100,Nā`ibī Sulaymān Wālī,نائبي سليمان الوالي
4102,Nābigha,نابغة
4103,Nābigha b. Kāwī,نابغة بن كاوي
4104,Nābigha Ziyād b. Mu`āwiya al-Dhubyānī,نابغة زياد بن معاوية الذبياني
4106,Nābigha Ziyād b. Mu`āwiya al-Dhubyānī and Ẓuhayr b. Abī Salama b. Rabīa al-Muzanī and Ṭarafa b. al-`Abd b. al-Safayān al-Bakrī,نابغة الذبياني وزهير بن أبي سلمي بن ربيعة المزني وطرفة بن العبد بن سفيان البكري
4107,Nāfi` b. Ḥabīb b. al-Zāyid al-Tandaghī,نافع بن حبيب بن الزايد التندغي
4108,Naḥwī Abī `Abd Allāh al-Lakhṣī,نحوي أبي عبد الله اللخصي
4109,Najīb b. al-Muṣṭafa b. `Abd al-`Azīz,نجيب بن المصطفي بن عبد العزيز
4110,Najm al-Dīn `Umar b. Muḥammad al-Nasafī,نجم الدين عمر بن محمد النسفي‏ ‬
4111,Najm al-Dīn al-Iṣfahānī,نجم الدين الاصفهاني
4113,Najm al-Dīn b. Aḥmad al-Ghāyṭī,نجم الدين بن أحمد الغيطي
4115,Nāna Mawi bint Muḥammad,نان موي بنت محمد
4117,Nāna Mūsa bint Bāba Banī,نان موسي بنت باب بني
4118,Nāna Ṣanufu,نان صنف
4119,Nāṣif b. `Abd Allāh b. Nāṣif b. Jumblāṭ al-Yāzijī,ناصيف بن عبد الله بن ناصيف بن جنبلاط اليازجي
4120,Nāṣr al-Dīn `Abd Allāh `Umar al-Shāfi`ī,ناصر الدين عبد الله بن عمر الشافعي‏
4121,Naṣr b. `Abd al-Sayid al-Khawārzamī,ناصر بن عبد السيد الخوارزمي
4122,Naṣr b. Muḥammad b. Aḥmad al-Samarqandī,نصر بن محمد بن أحمد السمرقندي
4124,Naṣr b. Naṣr al-Hūrīnī,نصر بن نصر الهوريني
4125,Naṣr Ibrāhīm b. Naṣr al-Maqdisī,نصر إبراهيم بن نصر المقدسي
4126,Nūḥ b. al-Ṭāhir al-Fulānī,نوح بن الطاهر الفلاني
4127,Nūḥ b. al-Ṭāhir b. Abī Bakr b. Abū Mūsa,نوح بن الطاهر بن أبي بكر بن أبي موسي
4128,Nūr al-Dīn `Abd al-Raḥman b. Aḥmad al-Jāmī,نور الدين عبد الرحمن بن احمد الجامي‏
4129,Nūr al-Dīn al-Dimyāṭī,نور الدين الدمياطي
4130,Nur al-Dīn b. Muḥammad b. al-Ḥasan,نور الدين بن محمد بن حسن
4131,Nyang al-Sūdānī,انينك السوداني
4132,Pīr Muḥammad Didi b. Muṣṭafa b. Ḥabīb,بير محمد دده بن مصطفي بن حبيب
4133,"poets, several",مجموعة
4135,Qā'id Muḥammad b. Anna Muy b. Kurbu,قائد محمد بن أن مي بن كرب
4136,Qaddūr b. `Īsa,قدور بن عيسي
4137,Qāḍī `Abd al-Waḥīd b. Aḥmad al-Ḥumaydī,قاضي عبد الواحد بن أحمد الحميدي
4138,Qāḍī `Iyāḍ b. Mūsa al-Yaḥṣubī al-Sabtī al-Andalusī,قاضي عياض بن موسي اليحصبي السبتي الأندلسي
4140,Qāḍī Abī `Abd Allāh b. Aḥmad,قاضي أبي عبد الله بن أحمد
4141,Qāḍī b. al-Ḥasan b. al-Qāḍī,قاضي بن الحسن بن القاضي
4143,Qāsim b. `Alī b. Muḥammad al-Ḥarīrī,قاسم بن علي‏ ‬الحريري‏ ‬
4144,Qāsim b. `Isa al-Tinwajī,قاسم بن عيسى التنوخي‏ ‬
4145,Qāsim b. Abī Muḥammad al-Jazūlī,قاسم بن أبي محمد الجزولي
4146,Qāsim b. Ahmad b. al-Ḥasan b. Aḥmad b. Mūsa b. Amūn al-Tilīdī,قاسم بن أحمد بن الحسن بن أحمد بن موسى بن أمون التليدي‏ ‬
4147,Qāsim b. Aḥmad b. Mūsa b. Yāmūn al-Akhmāsī,قاسم بن أحمد بن موسي بن يامون الأخماسي
4148,Qāsim b. al-Yāmūnī al-Tilīdī,قاسم بن الياموني التليدي
4149,Qāsim b. Ismā`īl b. Ya`qūb al-Wasanī al-Biruṭī (?),قاسم بن إسماعيل بن يعقوب الوسني البروطي
4150,Qāsim b. Muḥammad al-Qāsim al-Ma`arūf Bāban al-Qāḍī,قاسم بن محمد بن قاسم المعروف بابن القاضي‏
4151,Qāsim b. Mūsa,قاسم بن موسي
4154,Qaylūbī,قيلوبي
4155,Qubāb b. Aḥmad b. Qāsim al-Jadāfī,قباب بن أحمد بن قاسم الجدافي
4157,Quṭab b. Kāwī b. Umm b. Ag,قطب بن كاوي بن أم بن أك
4159,Rāfi` b. Rāfi`,رافع بن رافع
4160,Rashīd b. Ghālib al-Daḥdāḥ,رشيد بن غالب الدحداح
4161,Rawā`ī,رواعي
4162,Rawkazī,روكزي
4163,Rāzī,رازي
4164,Riḍwān b. `Abd Allāh al-Janāwī,رضوان بن عبد الله الجناوي
4165,Rilwān Namakā b. Abū Bakr,رلوان نمكا بن أبو بكر
